promedio_kardex,horas_estudio,asistencias,unidades_aprobadas,nivel_estres,motivacion,beca,trabaja,perfil_rendimiento,edad,horas_ocio,integrantes_familia,ingresos_familiares,actividades_extracurriculares,participacion_clase,apoyo_gubernamental,habilidades_blandas,sociabilidad,semestre,materias_cursando,carrera
80.0,4,89,8,4,7,No,Sí,Rendimiento Promedio,19,5,4,49127,1,80,Sí,78.1,86.9,4,6,Ing. Mecánica
82.7,4,80,5,4,5,No,Sí,Rendimiento Promedio,24,3,5,10380,3,84,No,84.8,89.4,7,6,Ing. Civil
80.0,3,92,8,7,7,No,Sí,Rendimiento Promedio,21,1,1,37611,3,85,No,91.0,85.1,2,7,Ing. Civil
80.5,3,84,6,6,7,Sí,Sí,Rendimiento Promedio,21,5,7,46786,2,86,Sí,84.4,75.4,6,6,Ing. Mecánica
87.7,2,89,6,6,6,No,Sí,Rendimiento Promedio,18,5,4,23200,3,81,No,78.6,90.0,8,5,Ing. Gestión Empresarial
97.6,4,97,9,3,10,Sí,No,Alto Rendimiento,22,2,3,17623,3,84,Sí,78.7,83.7,3,7,Ing. Civil
95.5,5,98,9,4,8,Sí,No,Alto Rendimiento,23,1,4,39829,3,92,No,87.4,86.6,1,6,Arquitectura
74.0,1,82,4,9,3,No,No,Bajo Rendimiento,18,4,3,35166,0,84,No,90.9,84.6,5,7,Ing. Química
93.4,3,98,9,3,9,No,No,Alto Rendimiento,18,1,4,5563,0,85,No,87.5,85.2,4,6,Ing. Sistemas
87.4,4,82,7,4,6,No,No,Rendimiento Promedio,20,1,7,40096,0,89,No,72.4,85.8,3,7,Ing. Civil
83.9,3,89,5,7,5,No,Sí,Rendimiento Promedio,18,2,3,20578,0,88,No,79.3,75.6,6,7,Ing. Civil
87.5,2,86,7,4,7,Sí,Sí,Rendimiento Promedio,22,4,4,33727,1,75,No,86.6,83.3,5,7,Ing. Industrial
90.0,3,87,7,4,5,Sí,Sí,Rendimiento Promedio,18,2,6,30809,2,86,Sí,96.8,87.1,3,7,Ing. Industrial
86.1,3,87,5,6,6,No,Sí,Rendimiento Promedio,25,2,6,7757,1,85,No,73.4,86.0,2,5,Ing. Civil
94.6,4,95,9,3,8,Sí,Sí,Alto Rendimiento,21,2,6,19725,0,93,Sí,89.1,83.2,3,4,Ing. Química
80.0,3,86,7,6,5,No,No,Rendimiento Promedio,22,1,3,20126,1,79,Sí,81.1,82.5,10,6,Arquitectura
85.9,2,86,8,7,8,No,Sí,Rendimiento Promedio,23,2,2,27072,2,80,No,82.8,83.9,4,7,Ing. Sistemas
96.6,4,99,9,3,9,No,No,Alto Rendimiento,21,3,3,12348,2,82,No,84.2,84.3,9,5,Ing. Civil
97.7,4,96,8,4,10,Sí,No,Alto Rendimiento,24,4,4,15357,1,88,No,89.6,91.6,6,6,Ing. Sistemas
82.5,4,93,7,5,6,No,Sí,Rendimiento Promedio,20,4,4,23768,2,90,No,86.3,82.1,6,6,Ing. Inteligencia Artificial
90.0,4,94,6,4,5,Sí,Sí,Rendimiento Promedio,20,2,3,46183,0,83,No,82.4,95.1,1,6,Ing. Química
94.4,3,98,10,3,10,Sí,Sí,Alto Rendimiento,22,1,1,36542,1,88,No,82.4,85.5,10,5,Ing. Electrónica
84.2,2,90,5,5,5,No,Sí,Rendimiento Promedio,23,5,3,32108,2,81,No,85.3,90.2,4,5,Ing. Mecánica
81.3,3,93,7,7,6,No,Sí,Rendimiento Promedio,24,5,6,18587,0,84,No,85.0,88.6,11,7,Ing. Química
86.5,4,90,5,6,7,No,No,Rendimiento Promedio,19,1,5,17546,1,87,No,80.2,85.7,3,4,Ing. Civil
85.3,3,83,5,7,5,No,No,Rendimiento Promedio,24,2,2,13000,2,94,No,89.4,86.0,4,5,Ing. Gestión Empresarial
96.7,4,99,10,2,10,No,No,Alto Rendimiento,19,2,4,5292,3,90,No,93.8,89.4,2,7,Ing. Química
78.3,1,79,1,8,1,Sí,No,Bajo Rendimiento,22,3,1,34858,2,90,No,87.2,92.4,10,5,Arquitectura
80.0,2,81,1,10,1,No,No,Bajo Rendimiento,22,5,7,18947,0,83,Sí,86.0,81.6,9,5,Ing. Industrial
80.0,2,76,1,7,1,No,No,Bajo Rendimiento,24,5,4,6534,2,76,Sí,91.0,80.5,6,7,Ing. Sistemas
94.4,4,96,8,2,8,Sí,No,Alto Rendimiento,24,4,2,39159,1,96,No,86.5,84.3,1,6,Ing. Electrónica
85.3,4,88,7,5,8,No,Sí,Rendimiento Promedio,21,2,1,22404,0,76,No,81.9,83.7,4,6,Ing. Industrial
87.1,3,95,5,5,6,No,Sí,Rendimiento Promedio,20,1,2,36490,3,82,No,94.7,88.0,11,7,Ing. Civil
84.0,2,90,7,4,7,Sí,Sí,Rendimiento Promedio,25,2,1,5619,1,84,Sí,85.1,85.3,5,5,Ing. Electrónica
85.2,4,91,8,4,5,No,No,Rendimiento Promedio,25,2,3,47256,3,91,No,85.7,84.2,2,6,Arquitectura
85.7,4,84,8,4,7,No,Sí,Rendimiento Promedio,22,3,5,17478,0,90,No,89.3,79.8,7,6,Ing. Civil
83.5,2,81,6,6,8,No,Sí,Rendimiento Promedio,18,1,2,26481,2,81,No,87.8,88.9,4,5,Ing. Gestión Empresarial
80.0,2,74,2,10,4,No,No,Bajo Rendimiento,21,3,4,32745,0,85,No,80.6,88.3,5,6,Ing. Mecánica
86.9,3,85,6,6,8,Sí,No,Rendimiento Promedio,20,3,3,24041,0,81,Sí,87.5,82.6,8,7,Ing. Mecánica
94.8,4,99,9,1,8,Sí,No,Alto Rendimiento,21,3,3,47640,3,81,No,86.2,82.7,7,7,Arquitectura
95.0,4,98,10,2,8,Sí,No,Alto Rendimiento,20,3,7,17823,1,88,No,88.0,88.8,12,7,Ing. Mecánica
89.9,3,83,7,4,7,No,No,Rendimiento Promedio,18,2,4,10377,2,77,No,87.4,86.0,3,6,Ing. Inteligencia Artificial
86.3,3,90,6,6,5,Sí,Sí,Rendimiento Promedio,20,4,3,45567,1,86,No,82.4,82.7,5,5,Ing. Sistemas
85.3,4,82,5,6,8,No,No,Rendimiento Promedio,21,2,2,20117,1,81,Sí,89.2,91.1,8,5,Ing. Química
87.6,3,80,6,6,8,No,Sí,Rendimiento Promedio,24,3,3,22166,2,74,Sí,82.3,78.8,10,6,Ing. Gestión Empresarial
93.8,3,100,8,1,8,Sí,No,Alto Rendimiento,25,3,2,29889,0,83,No,85.1,89.0,4,5,Arquitectura
83.4,2,86,8,7,8,No,Sí,Rendimiento Promedio,20,4,1,27957,1,89,No,85.3,97.1,7,5,Ing. Civil
82.6,3,89,7,4,7,No,Sí,Rendimiento Promedio,21,5,4,39484,0,86,No,81.8,75.3,12,5,Ing. Electrónica
86.0,2,94,8,7,8,Sí,Sí,Rendimiento Promedio,22,1,2,13445,2,78,No,95.0,78.9,9,5,Ing. Industrial
83.3,2,86,6,5,5,No,Sí,Rendimiento Promedio,25,3,3,40639,3,85,No,81.1,93.4,11,7,Ing. Sistemas
85.6,2,87,7,7,5,No,Sí,Rendimiento Promedio,18,3,1,20084,3,76,No,75.0,85.4,12,6,Ing. Gestión Empresarial
80.9,3,90,6,7,7,No,Sí,Rendimiento Promedio,21,2,1,34196,3,95,No,89.5,86.1,2,7,Ing. Civil
81.3,4,82,6,7,6,No,No,Rendimiento Promedio,25,3,2,39466,0,85,No,82.9,88.1,5,6,Ing. Civil
82.0,2,92,5,6,6,No,Sí,Rendimiento Promedio,19,3,1,29739,3,88,No,91.8,77.3,1,5,Arquitectura
84.0,2,84,5,5,7,No,No,Rendimiento Promedio,19,1,3,13164,3,92,No,83.7,89.8,6,6,Arquitectura
84.9,4,85,6,4,6,No,No,Rendimiento Promedio,23,2,1,41169,2,85,No,84.7,79.6,7,4,Ing. Gestión Empresarial
94.3,5,100,9,4,9,Sí,Sí,Alto Rendimiento,23,5,4,11648,2,85,Sí,98.4,89.2,6,6,Ing. Gestión Empresarial
76.5,1,79,5,10,2,No,No,Bajo Rendimiento,20,3,6,46308,3,80,No,84.3,74.9,6,5,Ing. Gestión Empresarial
88.6,3,84,8,7,8,No,Sí,Rendimiento Promedio,22,3,5,22313,3,74,Sí,85.3,87.4,6,7,Ing. Electrónica
87.1,4,87,5,7,8,No,Sí,Rendimiento Promedio,22,5,2,39996,0,81,Sí,90.1,85.9,8,6,Ing. Civil
94.6,3,98,8,1,10,No,No,Alto Rendimiento,19,4,4,28066,2,85,No,85.7,87.0,9,6,Arquitectura
76.1,1,73,2,8,3,No,No,Bajo Rendimiento,20,5,1,10576,1,85,No,83.8,93.0,4,6,Ing. Sistemas
91.0,3,100,10,2,8,Sí,No,Alto Rendimiento,25,5,1,35664,1,86,No,83.0,83.9,3,7,Ing. Mecánica
80.0,1,83,4,10,4,No,No,Bajo Rendimiento,25,2,2,28625,0,78,No,80.5,93.5,7,5,Ing. Sistemas
76.5,1,79,1,7,3,No,No,Bajo Rendimiento,22,5,5,14870,1,81,No,82.6,77.8,8,5,Ing. Civil
70.8,2,85,2,9,3,No,No,Bajo Rendimiento,22,2,2,19600,2,89,Sí,88.7,95.9,3,6,Ing. Química
85.0,2,89,8,4,8,No,No,Rendimiento Promedio,24,5,3,42405,1,85,No,89.8,81.8,6,7,Ing. Industrial
80.0,2,78,4,10,3,No,No,Bajo Rendimiento,25,3,5,31013,3,78,No,81.6,88.5,7,6,Ing. Electrónica
80.9,3,86,7,7,6,No,No,Rendimiento Promedio,20,3,2,49351,1,90,No,90.7,88.2,7,7,Ing. Gestión Empresarial
80.0,3,81,7,4,6,No,Sí,Rendimiento Promedio,21,4,1,29975,0,93,No,88.7,83.3,11,5,Arquitectura
80.0,3,89,8,7,7,No,No,Rendimiento Promedio,19,5,1,7467,2,80,No,83.1,90.2,2,4,Ing. Gestión Empresarial
94.8,3,97,10,3,9,Sí,Sí,Alto Rendimiento,23,1,3,17333,1,84,No,88.1,86.6,8,6,Ing. Gestión Empresarial
96.6,3,96,9,3,8,Sí,Sí,Alto Rendimiento,24,5,3,26860,2,83,No,91.5,87.8,10,6,Ing. Química
86.0,2,90,8,6,6,No,Sí,Rendimiento Promedio,22,1,5,22487,0,79,No,86.2,82.2,6,6,Ing. Sistemas
80.0,2,78,4,10,2,No,No,Bajo Rendimiento,24,5,1,9863,1,84,Sí,84.8,87.8,6,7,Ing. Mecánica
74.0,2,85,4,10,4,No,No,Bajo Rendimiento,24,2,2,5859,3,86,No,80.6,81.3,3,4,Ing. Sistemas
84.7,4,87,7,6,6,Sí,Sí,Rendimiento Promedio,21,3,3,11547,2,86,No,83.1,82.8,6,6,Ing. Química
71.9,1,78,1,9,4,No,No,Bajo Rendimiento,21,1,1,22869,1,95,Sí,84.7,80.2,9,7,Ing. Mecánica
72.1,1,74,4,7,4,Sí,No,Bajo Rendimiento,21,1,5,10228,3,80,No,78.4,89.2,6,6,Ing. Electrónica
85.2,4,94,7,5,5,No,Sí,Rendimiento Promedio,21,5,2,36964,0,79,No,79.9,84.8,4,6,Ing. Bioquímica
72.4,2,85,1,10,1,No,No,Bajo Rendimiento,18,3,5,46426,3,90,Sí,88.5,80.4,9,7,Ing. Civil
74.4,2,72,3,7,1,No,Sí,Bajo Rendimiento,18,4,2,41048,0,89,No,82.4,89.9,6,7,Ing. Civil
73.0,1,84,1,8,4,No,No,Bajo Rendimiento,23,1,5,28488,2,74,No,75.7,74.9,6,4,Ing. Sistemas
88.7,2,89,5,7,8,No,No,Rendimiento Promedio,20,3,4,17956,1,80,No,82.7,81.4,8,7,Arquitectura
96.4,4,96,9,4,10,Sí,No,Alto Rendimiento,19,3,3,31749,1,76,No,82.7,83.1,2,5,Ing. Industrial
87.0,3,85,5,5,6,No,No,Rendimiento Promedio,25,1,2,43492,2,90,No,85.6,81.8,2,7,Ing. Mecánica
70.5,2,85,1,10,3,No,No,Bajo Rendimiento,20,2,2,39898,0,89,No,86.6,90.1,10,6,Ing. Gestión Empresarial
92.8,3,97,8,4,9,Sí,No,Alto Rendimiento,25,2,4,11857,0,84,Sí,87.8,90.2,5,7,Ing. Mecánica
96.6,3,97,9,1,8,Sí,No,Alto Rendimiento,24,5,3,47275,1,90,Sí,83.5,88.2,9,7,Ing. Mecánica
88.9,3,93,7,5,6,No,Sí,Rendimiento Promedio,18,5,5,34840,2,88,No,83.9,78.6,1,7,Ing. Química
87.4,3,87,7,5,8,No,No,Rendimiento Promedio,25,3,1,38951,1,86,Sí,78.8,82.6,1,6,Arquitectura
94.8,3,98,9,3,10,Sí,Sí,Alto Rendimiento,20,1,3,43194,0,82,No,82.4,86.0,2,5,Ing. Industrial
71.0,1,84,5,7,2,No,No,Bajo Rendimiento,20,2,1,43259,0,77,No,80.6,88.9,4,5,Arquitectura
89.8,2,91,7,4,8,No,Sí,Rendimiento Promedio,21,3,3,27970,3,83,No,87.7,83.9,7,5,Ing. Civil
97.0,3,98,9,2,8,Sí,No,Alto Rendimiento,22,2,4,38534,0,84,No,96.1,86.4,12,5,Ing. Gestión Empresarial
85.3,4,94,5,5,7,No,Sí,Rendimiento Promedio,18,1,5,31605,1,87,No,86.9,88.5,3,7,Ing. Sistemas
82.6,3,94,6,5,8,No,Sí,Rendimiento Promedio,18,2,7,28318,3,85,No,90.7,89.7,3,5,Ing. Civil
90.0,3,93,6,6,8,No,No,Rendimiento Promedio,20,4,2,27159,3,84,Sí,88.6,87.0,6,7,Ing. Industrial
84.7,2,80,5,6,5,No,No,Rendimiento Promedio,22,5,4,15783,2,86,Sí,77.6,83.0,10,5,Arquitectura
74.4,2,81,3,10,4,No,No,Bajo Rendimiento,20,2,1,25033,3,79,No,85.1,84.3,3,6,Ing. Gestión Empresarial
93.0,3,95,9,2,8,Sí,No,Alto Rendimiento,19,1,3,12015,3,82,No,79.3,82.7,7,6,Ing. Gestión Empresarial
77.4,2,74,2,10,2,Sí,No,Bajo Rendimiento,18,1,1,41677,3,89,No,77.4,89.3,7,7,Ing. Gestión Empresarial
92.8,4,95,10,1,9,Sí,No,Alto Rendimiento,25,4,2,28241,1,82,No,90.0,84.3,4,6,Ing. Civil
75.8,1,85,1,8,1,No,No,Bajo Rendimiento,21,1,2,42857,2,83,No,92.4,95.3,10,6,Ing. Industrial
87.2,3,92,7,7,6,No,Sí,Rendimiento Promedio,21,4,3,29253,1,87,No,70.0,83.7,5,6,Ing. Bioquímica
85.2,3,90,8,7,5,No,Sí,Rendimiento Promedio,21,3,1,27941,2,81,Sí,81.9,79.5,11,6,Ing. Bioquímica
85.1,2,84,8,6,8,Sí,Sí,Rendimiento Promedio,23,2,1,38187,2,82,No,85.8,98.2,5,5,Ing. Mecánica
87.2,4,91,5,5,5,Sí,No,Rendimiento Promedio,23,1,3,21645,3,76,No,83.1,89.9,1,6,Ing. Bioquímica
70.7,1,81,3,9,3,No,No,Bajo Rendimiento,18,5,1,20364,0,90,Sí,85.9,79.5,10,6,Ing. Electrónica
81.6,4,82,8,4,6,No,Sí,Rendimiento Promedio,18,2,2,19647,0,91,No,85.7,79.8,10,6,Arquitectura
83.2,2,89,6,6,5,No,No,Rendimiento Promedio,21,4,4,34211,1,89,No,86.8,95.6,3,6,Arquitectura
83.4,3,90,6,7,8,No,Sí,Rendimiento Promedio,25,2,1,5902,3,85,No,89.1,80.2,12,7,Ing. Bioquímica
78.5,1,83,1,10,3,No,No,Bajo Rendimiento,25,2,1,12226,2,79,No,87.8,84.9,5,4,Ing. Mecánica
83.9,3,85,8,7,5,No,Sí,Rendimiento Promedio,24,1,3,5914,0,82,Sí,83.4,87.5,11,5,Ing. Gestión Empresarial
84.9,2,81,5,6,6,No,Sí,Rendimiento Promedio,18,5,2,20165,1,80,No,89.8,90.8,5,5,Arquitectura
85.7,4,89,8,4,5,No,Sí,Rendimiento Promedio,25,3,1,5049,0,80,No,75.9,95.3,6,5,Ing. Industrial
97.1,3,100,10,3,8,Sí,No,Alto Rendimiento,25,5,1,12921,2,83,No,89.9,88.7,1,5,Ing. Gestión Empresarial
85.1,2,95,5,4,8,No,Sí,Rendimiento Promedio,21,4,1,39777,0,82,No,84.2,94.4,6,7,Ing. Mecánica
86.2,2,95,7,4,6,No,Sí,Rendimiento Promedio,19,5,2,5631,1,90,No,80.8,90.7,5,6,Ing. Industrial
86.4,4,86,6,5,7,No,Sí,Rendimiento Promedio,19,5,1,36589,1,85,Sí,79.0,90.8,9,5,Ing. Gestión Empresarial
91.8,3,99,8,1,9,Sí,No,Alto Rendimiento,19,4,4,22957,1,91,No,90.4,88.4,4,6,Arquitectura
91.8,3,97,9,2,8,No,Sí,Alto Rendimiento,20,5,1,45678,3,81,Sí,83.6,81.7,6,6,Arquitectura
85.9,3,82,5,6,8,No,Sí,Rendimiento Promedio,20,3,4,45336,3,86,Sí,79.2,94.3,7,6,Ing. Sistemas
87.8,3,86,7,4,7,No,No,Rendimiento Promedio,22,2,5,46682,3,83,No,80.0,83.4,2,5,Arquitectura
87.1,4,91,5,6,5,No,No,Rendimiento Promedio,25,3,3,40078,1,87,No,82.6,89.7,6,5,Ing. Gestión Empresarial
80.7,3,83,5,4,8,No,No,Rendimiento Promedio,22,2,5,36013,0,89,No,91.3,75.8,5,4,Ing. Civil
83.9,3,87,7,6,5,No,Sí,Rendimiento Promedio,22,2,1,13400,1,90,No,89.1,88.5,8,7,Ing. Civil
70.0,2,74,5,8,4,No,No,Bajo Rendimiento,19,5,5,36388,3,83,No,86.8,92.3,12,4,Arquitectura
95.9,3,95,9,3,10,No,No,Alto Rendimiento,25,2,3,27834,1,84,Sí,84.0,79.3,6,5,Ing. Electrónica
93.3,4,96,9,1,8,Sí,Sí,Alto Rendimiento,19,4,3,12659,0,89,No,77.4,87.4,4,6,Ing. Gestión Empresarial
88.2,3,89,8,4,5,Sí,Sí,Rendimiento Promedio,19,3,4,31576,0,94,No,98.8,76.1,1,4,Ing. Química
94.3,3,97,8,2,8,Sí,No,Alto Rendimiento,25,2,2,19734,2,85,Sí,82.4,85.2,3,5,Ing. Química
82.6,2,90,5,5,7,No,Sí,Rendimiento Promedio,18,5,3,11752,1,84,Sí,82.0,91.0,3,6,Arquitectura
80.0,2,86,7,4,5,No,No,Rendimiento Promedio,18,5,2,42215,0,84,Sí,85.2,82.4,9,6,Ing. Industrial
75.2,2,73,4,9,1,No,No,Bajo Rendimiento,19,5,4,23523,1,75,No,93.3,87.5,6,6,Ing. Electrónica
92.5,3,99,8,1,8,Sí,No,Alto Rendimiento,21,1,3,29446,3,86,No,85.4,87.1,7,7,Ing. Sistemas
80.8,2,89,7,7,7,No,Sí,Rendimiento Promedio,22,3,1,18459,0,81,Sí,83.5,82.3,7,6,Ing. Electrónica
82.4,4,89,8,7,5,No,Sí,Rendimiento Promedio,20,5,3,16292,0,79,No,75.6,82.7,2,5,Ing. Mecánica
90.0,2,92,7,6,6,Sí,Sí,Rendimiento Promedio,22,4,4,10135,3,87,Sí,83.5,88.2,2,6,Ing. Mecánica
98.3,4,98,9,2,9,Sí,No,Alto Rendimiento,21,5,1,45797,1,84,No,85.1,89.4,12,7,Ing. Mecánica
84.6,2,93,6,7,6,No,No,Rendimiento Promedio,25,1,3,37144,2,89,No,81.2,77.4,5,7,Arquitectura
84.5,3,86,8,6,6,No,Sí,Rendimiento Promedio,25,3,2,23360,1,84,No,87.2,96.4,12,5,Ing. Industrial
90.0,2,88,5,4,7,No,No,Rendimiento Promedio,23,2,3,23252,2,78,No,81.4,83.1,2,7,Ing. Industrial
96.8,3,97,8,1,9,Sí,No,Alto Rendimiento,18,3,1,39833,2,85,No,81.3,88.2,4,7,Ing. Mecánica
96.7,3,95,8,3,10,Sí,No,Alto Rendimiento,24,2,1,45774,1,75,No,84.8,87.9,1,5,Ing. Mecánica
82.8,3,80,8,7,5,No,No,Rendimiento Promedio,19,2,4,46136,3,88,Sí,81.6,86.0,9,6,Ing. Industrial
91.8,3,99,9,3,10,Sí,No,Alto Rendimiento,18,5,3,25106,2,91,Sí,83.9,82.8,11,7,Ing. Bioquímica
85.1,2,81,8,6,5,No,Sí,Rendimiento Promedio,25,4,5,30016,1,83,No,86.2,82.6,8,7,Ing. Inteligencia Artificial
95.9,3,97,9,2,9,Sí,No,Alto Rendimiento,18,4,2,28248,0,85,No,81.9,83.3,2,5,Ing. Química
86.6,3,92,5,7,5,No,Sí,Rendimiento Promedio,25,5,3,40346,2,91,No,87.5,82.1,9,5,Ing. Civil
86.3,3,93,8,5,6,No,Sí,Rendimiento Promedio,21,1,2,26573,1,84,No,79.7,75.7,7,7,Ing. Civil
95.9,3,95,8,2,9,Sí,No,Alto Rendimiento,18,2,1,48635,2,76,Sí,80.7,88.7,9,6,Ing. Gestión Empresarial
83.1,4,87,6,4,5,No,Sí,Rendimiento Promedio,18,4,3,28505,1,92,No,82.0,81.0,4,6,Ing. Mecánica
76.9,1,77,2,10,3,No,No,Bajo Rendimiento,24,3,1,46481,1,82,No,86.3,98.9,11,6,Ing. Civil
94.4,4,98,9,2,8,Sí,No,Alto Rendimiento,22,1,2,22664,2,83,No,83.6,88.1,4,6,Ing. Civil
83.2,3,94,7,6,7,No,No,Rendimiento Promedio,22,5,3,43144,0,93,No,80.8,85.2,2,6,Ing. Sistemas
95.9,3,95,10,3,9,Sí,No,Alto Rendimiento,23,1,3,28086,0,97,No,83.1,88.1,12,7,Ing. Civil
81.5,4,80,6,4,7,No,No,Rendimiento Promedio,25,4,2,34336,2,81,No,84.0,79.6,5,5,Ing. Civil
87.3,2,93,6,7,8,No,Sí,Rendimiento Promedio,21,5,4,45153,1,89,Sí,90.8,95.0,12,6,Ing. Gestión Empresarial
89.3,2,83,5,5,7,No,Sí,Rendimiento Promedio,24,4,1,48622,0,86,No,88.3,83.6,2,6,Arquitectura
81.7,2,90,7,7,7,No,Sí,Rendimiento Promedio,19,2,2,10001,1,93,No,78.6,92.2,7,6,Ing. Sistemas
82.9,2,89,5,7,7,No,No,Rendimiento Promedio,24,1,4,49195,2,83,Sí,90.1,87.8,11,7,Ing. Civil
82.4,3,91,8,6,5,No,Sí,Rendimiento Promedio,22,2,1,11535,1,86,No,78.9,94.3,4,6,Ing. Gestión Empresarial
92.9,3,97,9,2,8,Sí,Sí,Alto Rendimiento,24,3,3,14184,0,82,No,89.6,86.6,9,7,Ing. Electrónica
82.2,2,84,7,7,5,No,No,Rendimiento Promedio,25,2,4,30533,0,94,No,87.1,81.2,7,6,Ing. Mecánica
87.8,2,83,6,5,6,No,No,Rendimiento Promedio,23,1,4,14116,2,82,Sí,81.9,87.8,2,7,Ing. Sistemas
75.7,2,74,4,9,3,Sí,No,Bajo Rendimiento,18,3,3,29628,2,82,No,88.2,85.9,8,7,Ing. Civil
95.9,4,99,10,3,10,Sí,No,Alto Rendimiento,23,4,2,40809,2,88,No,84.9,86.8,9,7,Ing. Industrial
82.1,2,80,5,4,7,No,No,Rendimiento Promedio,23,3,3,29026,1,80,No,84.8,86.8,6,6,Ing. Gestión Empresarial
88.4,4,81,5,4,6,No,Sí,Rendimiento Promedio,20,1,1,11130,0,86,No,81.4,78.6,4,7,Ing. Inteligencia Artificial
81.3,3,82,6,4,8,No,Sí,Rendimiento Promedio,22,5,1,39352,2,83,No,85.2,88.6,6,7,Ing. Civil
86.6,3,87,6,6,7,Sí,Sí,Rendimiento Promedio,23,3,4,24652,0,82,No,76.7,76.2,3,6,Ing. Sistemas
77.9,2,80,2,9,2,No,No,Bajo Rendimiento,23,4,2,30257,0,84,No,74.4,88.0,11,5,Ing. Sistemas
98.0,3,97,10,1,8,Sí,No,Alto Rendimiento,20,3,1,13821,3,79,No,87.6,87.7,4,7,Ing. Industrial
80.0,2,81,3,7,4,No,No,Bajo Rendimiento,19,2,1,8146,0,79,Sí,85.3,90.5,10,6,Ing. Química
80.0,2,83,4,9,1,No,Sí,Bajo Rendimiento,25,5,1,23240,0,82,No,83.6,85.1,7,6,Arquitectura
89.4,4,95,8,7,5,Sí,Sí,Rendimiento Promedio,25,1,3,25684,2,95,No,87.0,77.7,5,6,Arquitectura
84.5,3,85,6,5,5,Sí,Sí,Rendimiento Promedio,18,5,4,7593,2,81,Sí,84.8,84.2,7,5,Ing. Mecánica
86.2,2,91,8,4,8,No,No,Rendimiento Promedio,22,2,2,26856,1,93,No,87.6,84.5,12,6,Ing. Química
83.6,4,90,6,7,8,No,Sí,Rendimiento Promedio,24,5,2,16188,2,88,No,88.8,89.7,8,6,Arquitectura
95.5,3,99,9,2,8,No,No,Alto Rendimiento,19,2,1,30931,0,83,No,74.9,93.3,8,6,Ing. Mecánica
83.4,3,88,8,6,5,No,No,Rendimiento Promedio,24,3,6,38543,1,82,No,71.1,91.6,12,6,Arquitectura
78.0,1,75,3,8,2,Sí,No,Bajo Rendimiento,24,1,1,35084,1,85,No,85.3,83.8,11,6,Ing. Gestión Empresarial
86.2,2,88,8,7,8,No,Sí,Rendimiento Promedio,21,2,2,47878,2,94,No,85.7,81.7,4,6,Ing. Industrial
81.8,3,91,5,7,8,Sí,No,Rendimiento Promedio,19,2,3,26119,3,78,No,84.3,91.8,4,7,Ing. Electrónica
93.5,3,98,9,2,9,No,Sí,Alto Rendimiento,21,3,6,38502,3,83,No,80.7,80.6,11,6,Ing. Gestión Empresarial
74.4,1,71,4,7,3,No,No,Bajo Rendimiento,21,2,2,7114,2,89,No,80.3,80.6,3,7,Ing. Sistemas
80.8,4,82,8,4,5,No,Sí,Rendimiento Promedio,22,1,3,38941,3,84,No,84.0,88.7,2,5,Ing. Sistemas
80.0,1,78,5,8,3,No,No,Bajo Rendimiento,20,4,1,34829,0,85,No,82.6,80.0,1,7,Ing. Inteligencia Artificial
72.9,2,81,5,8,3,No,No,Bajo Rendimiento,21,5,1,14428,2,73,No,88.8,82.7,4,7,Ing. Gestión Empresarial
87.9,2,80,6,6,5,Sí,Sí,Rendimiento Promedio,18,2,1,47532,1,86,No,85.9,86.2,5,6,Ing. Inteligencia Artificial
70.6,2,85,5,7,2,No,No,Bajo Rendimiento,22,5,4,47484,3,87,Sí,84.8,88.2,5,5,Ing. Industrial
78.2,1,72,3,10,3,No,No,Bajo Rendimiento,23,5,7,32256,0,84,No,90.0,87.5,4,7,Ing. Inteligencia Artificial
85.4,3,89,6,4,5,Sí,Sí,Rendimiento Promedio,23,4,5,47366,0,83,Sí,88.0,83.5,4,4,Ing. Industrial
94.2,4,98,9,2,9,Sí,Sí,Alto Rendimiento,21,2,3,31812,3,91,Sí,85.5,81.3,11,6,Ing. Industrial
84.9,4,82,8,7,8,No,Sí,Rendimiento Promedio,22,1,2,22625,1,87,No,80.2,77.7,2,6,Ing. Mecánica
84.2,3,82,8,6,6,No,Sí,Rendimiento Promedio,18,2,4,25224,1,86,No,89.3,85.3,8,6,Ing. Mecánica
87.8,3,95,7,6,7,No,No,Rendimiento Promedio,22,5,4,15450,1,95,Sí,88.0,83.2,2,5,Ing. Industrial
81.5,3,86,5,4,7,No,Sí,Rendimiento Promedio,24,3,1,17630,1,83,No,82.8,94.8,11,6,Ing. Inteligencia Artificial
87.3,3,90,5,5,6,Sí,Sí,Rendimiento Promedio,22,4,4,40303,2,85,Sí,86.3,80.8,5,5,Ing. Industrial
81.1,3,85,6,7,5,Sí,Sí,Rendimiento Promedio,24,1,2,14185,1,93,Sí,79.0,85.7,9,6,Ing. Gestión Empresarial
89.4,3,87,5,4,6,No,Sí,Rendimiento Promedio,23,1,5,31946,2,83,No,74.3,80.7,5,6,Ing. Industrial
93.0,3,95,9,3,10,No,No,Alto Rendimiento,21,5,4,42357,1,94,No,88.6,77.9,1,6,Ing. Gestión Empresarial
87.1,2,93,6,5,6,No,No,Rendimiento Promedio,19,1,3,47470,1,84,No,82.9,85.9,9,5,Ing. Gestión Empresarial
